"data","dt_evoluca","n"
"2020-06-05",2020-04-28,559
"2020-06-05",2020-04-29,564
"2020-06-05",2020-04-30,520
"2020-06-05",2020-05-01,584
"2020-06-05",2020-05-02,589
"2020-06-05",2020-05-03,632
"2020-06-05",2020-05-04,658
"2020-06-05",2020-05-05,679
"2020-06-05",2020-05-06,620
"2020-06-05",2020-05-07,620
"2020-06-05",2020-05-08,665
"2020-06-05",2020-05-09,673
"2020-06-05",2020-05-10,636
"2020-06-05",2020-05-11,667
"2020-06-05",2020-05-12,696
"2020-06-05",2020-05-13,634
"2020-06-05",2020-05-14,657
"2020-06-05",2020-05-15,631
"2020-06-05",2020-05-16,621
"2020-06-05",2020-05-17,639
"2020-06-05",2020-05-18,640
"2020-06-05",2020-05-19,619
"2020-06-05",2020-05-20,539
"2020-06-05",2020-05-21,574
"2020-06-05",2020-05-22,623
"2020-06-05",2020-05-23,555
"2020-06-05",2020-05-24,510
"2020-06-05",2020-05-25,567
"2020-06-05",2020-05-26,477
"2020-06-05",2020-05-27,448
"2020-06-05",2020-05-28,427
"2020-06-05",2020-05-29,445
"2020-06-05",2020-05-30,400
"2020-06-05",2020-05-31,373
"2020-06-05",2020-06-01,374
"2020-06-05",2020-06-02,298
"2020-06-05",2020-06-03,272
"2020-06-05",2020-06-04,222
"2020-06-05",2020-06-05,75
"2020-06-06",2020-03-12,1
"2020-06-06",2020-03-15,1
"2020-06-06",2020-03-16,3
"2020-06-06",2020-03-17,4
"2020-06-06",2020-03-18,8
"2020-06-06",2020-03-19,9
"2020-06-06",2020-03-20,17
"2020-06-06",2020-03-21,14
"2020-06-06",2020-03-22,20
"2020-06-06",2020-03-23,38
"2020-06-06",2020-03-24,37
"2020-06-06",2020-03-25,39
"2020-06-06",2020-03-26,53
"2020-06-06",2020-03-27,58
"2020-06-06",2020-03-28,72
"2020-06-06",2020-03-29,70
"2020-06-06",2020-03-30,88
"2020-06-06",2020-03-31,119
"2020-06-06",2020-04-01,114
"2020-06-06",2020-04-02,132
"2020-06-06",2020-04-03,161
"2020-06-06",2020-04-04,177
"2020-06-06",2020-04-05,175
"2020-06-06",2020-04-06,173
"2020-06-06",2020-04-07,193
"2020-06-06",2020-04-08,186
"2020-06-06",2020-04-09,192
"2020-06-06",2020-04-10,234
"2020-06-06",2020-04-11,215
"2020-06-06",2020-04-12,265
"2020-06-06",2020-04-13,278
"2020-06-06",2020-04-14,254
"2020-06-06",2020-04-15,304
"2020-06-06",2020-04-16,314
"2020-06-06",2020-04-17,316
"2020-06-06",2020-04-18,334
"2020-06-06",2020-04-19,358
"2020-06-06",2020-04-20,408
"2020-06-06",2020-04-21,372
"2020-06-06",2020-04-22,438
"2020-06-06",2020-04-23,464
"2020-06-06",2020-04-24,475
"2020-06-06",2020-04-25,535
"2020-06-06",2020-04-26,486
"2020-06-06",2020-04-27,514
"2020-06-06",2020-04-28,563
"2020-06-06",2020-04-29,567
"2020-06-06",2020-04-30,523
"2020-06-06",2020-05-01,589
"2020-06-06",2020-05-02,596
"2020-06-06",2020-05-03,637
"2020-06-06",2020-05-04,662
"2020-06-06",2020-05-05,681
"2020-06-06",2020-05-06,622
"2020-06-06",2020-05-07,627
"2020-06-06",2020-05-08,675
"2020-06-06",2020-05-09,678
"2020-06-06",2020-05-10,643
"2020-06-06",2020-05-11,670
"2020-06-06",2020-05-12,700
"2020-06-06",2020-05-13,648
"2020-06-06",2020-05-14,667
"2020-06-06",2020-05-15,643
"2020-06-06",2020-05-16,633
"2020-06-06",2020-05-17,641
"2020-06-06",2020-05-18,644
"2020-06-06",2020-05-19,630
"2020-06-06",2020-05-20,550
"2020-06-06",2020-05-21,582
"2020-06-06",2020-05-22,628
"2020-06-06",2020-05-23,561
"2020-06-06",2020-05-24,512
"2020-06-06",2020-05-25,573
"2020-06-06",2020-05-26,482
"2020-06-06",2020-05-27,456
"2020-06-06",2020-05-28,436
"2020-06-06",2020-05-29,451
"2020-06-06",2020-05-30,406
"2020-06-06",2020-05-31,379
"2020-06-06",2020-06-01,390
"2020-06-06",2020-06-02,320
"2020-06-06",2020-06-03,293
"2020-06-06",2020-06-04,263
"2020-06-06",2020-06-05,143
"2020-06-06",2020-06-06,60
"2020-06-07",2020-03-12,1
"2020-06-07",2020-03-15,1
"2020-06-07",2020-03-16,3
"2020-06-07",2020-03-17,4
"2020-06-07",2020-03-18,8
"2020-06-07",2020-03-19,9
"2020-06-07",2020-03-20,17
"2020-06-07",2020-03-21,14
"2020-06-07",2020-03-22,20
"2020-06-07",2020-03-23,38
"2020-06-07",2020-03-24,37
"2020-06-07",2020-03-25,39
"2020-06-07",2020-03-26,53
"2020-06-07",2020-03-27,58
"2020-06-07",2020-03-28,72
"2020-06-07",2020-03-29,70
"2020-06-07",2020-03-30,88
"2020-06-07",2020-03-31,119
"2020-06-07",2020-04-01,114
"2020-06-07",2020-04-02,132
"2020-06-07",2020-04-03,161
"2020-06-07",2020-04-04,177
"2020-06-07",2020-04-05,175
"2020-06-07",2020-04-06,173
"2020-06-07",2020-04-07,193
"2020-06-07",2020-04-08,186
"2020-06-07",2020-04-09,192
"2020-06-07",2020-04-10,234
"2020-06-07",2020-04-11,215
"2020-06-07",2020-04-12,265
"2020-06-07",2020-04-13,278
"2020-06-07",2020-04-14,254
"2020-06-07",2020-04-15,305
"2020-06-07",2020-04-16,314
"2020-06-07",2020-04-17,316
"2020-06-07",2020-04-18,334
"2020-06-07",2020-04-19,359
"2020-06-07",2020-04-20,408
"2020-06-07",2020-04-21,372
"2020-06-07",2020-04-22,438
"2020-06-07",2020-04-23,463
"2020-06-07",2020-04-24,475
"2020-06-07",2020-04-25,536
"2020-06-07",2020-04-26,523
"2020-06-07",2020-04-27,515
"2020-06-07",2020-04-28,566
"2020-06-07",2020-04-29,568
"2020-06-07",2020-04-30,526
"2020-06-07",2020-05-01,591
"2020-06-07",2020-05-02,599
"2020-06-07",2020-05-03,638
"2020-06-07",2020-05-04,666
"2020-06-07",2020-05-05,684
"2020-06-07",2020-05-06,625
"2020-06-07",2020-05-07,627
"2020-06-07",2020-05-08,678
"2020-06-07",2020-05-09,682
"2020-06-07",2020-05-10,646
"2020-06-07",2020-05-11,673
"2020-06-07",2020-05-12,698
"2020-06-07",2020-05-13,650
"2020-06-07",2020-05-14,669
"2020-06-07",2020-05-15,647
"2020-06-07",2020-05-16,636
"2020-06-07",2020-05-17,645
"2020-06-07",2020-05-18,659
"2020-06-07",2020-05-19,635
"2020-06-07",2020-05-20,551
"2020-06-07",2020-05-21,590
"2020-06-07",2020-05-22,633
"2020-06-07",2020-05-23,562
"2020-06-07",2020-05-24,515
"2020-06-07",2020-05-25,576
"2020-06-07",2020-05-26,483
"2020-06-07",2020-05-27,460
"2020-06-07",2020-05-28,441
"2020-06-07",2020-05-29,453
"2020-06-07",2020-05-30,409
"2020-06-07",2020-05-31,385
"2020-06-07",2020-06-01,395
"2020-06-07",2020-06-02,324
"2020-06-07",2020-06-03,300
"2020-06-07",2020-06-04,275
"2020-06-07",2020-06-05,158
"2020-06-07",2020-06-06,110
"2020-06-07",2020-06-07,32
"2020-06-08",2020-03-12,1
"2020-06-08",2020-03-15,1
"2020-06-08",2020-03-16,3
"2020-06-08",2020-03-17,4
"2020-06-08",2020-03-18,8
"2020-06-08",2020-03-19,9
"2020-06-08",2020-03-20,17
"2020-06-08",2020-03-21,14
"2020-06-08",2020-03-22,20
"2020-06-08",2020-03-23,38
"2020-06-08",2020-03-24,37
"2020-06-08",2020-03-25,39
"2020-06-08",2020-03-26,53
"2020-06-08",2020-03-27,59
"2020-06-08",2020-03-28,72
"2020-06-08",2020-03-29,70
"2020-06-08",2020-03-30,88
"2020-06-08",2020-03-31,118
"2020-06-08",2020-04-01,115
"2020-06-08",2020-04-02,132
"2020-06-08",2020-04-03,160
"2020-06-08",2020-04-04,178
"2020-06-08",2020-04-05,177
"2020-06-08",2020-04-06,173
"2020-06-08",2020-04-07,194
"2020-06-08",2020-04-08,186
"2020-06-08",2020-04-09,192
"2020-06-08",2020-04-10,234
"2020-06-08",2020-04-11,217
"2020-06-08",2020-04-12,265
"2020-06-08",2020-04-13,278
"2020-06-08",2020-04-14,252
"2020-06-08",2020-04-15,306
"2020-06-08",2020-04-16,316
"2020-06-08",2020-04-17,316
"2020-06-08",2020-04-18,334
"2020-06-08",2020-04-19,360
"2020-06-08",2020-04-20,412
"2020-06-08",2020-04-21,372
"2020-06-08",2020-04-22,440
"2020-06-08",2020-04-23,466
"2020-06-08",2020-04-24,479
"2020-06-08",2020-04-25,539
"2020-06-08",2020-04-26,559
"2020-06-08",2020-04-27,518
"2020-06-08",2020-04-28,572
"2020-06-08",2020-04-29,570
"2020-06-08",2020-04-30,532
"2020-06-08",2020-05-01,603
"2020-06-08",2020-05-02,604
"2020-06-08",2020-05-03,653
"2020-06-08",2020-05-04,674
"2020-06-08",2020-05-05,693
"2020-06-08",2020-05-06,638
"2020-06-08",2020-05-07,640
"2020-06-08",2020-05-08,695
"2020-06-08",2020-05-09,694
"2020-06-08",2020-05-10,658
"2020-06-08",2020-05-11,682
"2020-06-08",2020-05-12,709
"2020-06-08",2020-05-13,664
"2020-06-08",2020-05-14,686
"2020-06-08",2020-05-15,662
"2020-06-08",2020-05-16,649
"2020-06-08",2020-05-17,654
"2020-06-08",2020-05-18,673
"2020-06-08",2020-05-19,648
"2020-06-08",2020-05-20,571
"2020-06-08",2020-05-21,601
"2020-06-08",2020-05-22,655
"2020-06-08",2020-05-23,580
"2020-06-08",2020-05-24,530
"2020-06-08",2020-05-25,594
"2020-06-08",2020-05-26,504
"2020-06-08",2020-05-27,471
"2020-06-08",2020-05-28,464
"2020-06-08",2020-05-29,472
"2020-06-08",2020-05-30,432
"2020-06-08",2020-05-31,411
"2020-06-08",2020-06-01,437
"2020-06-08",2020-06-02,371
"2020-06-08",2020-06-03,338
"2020-06-08",2020-06-04,338
"2020-06-08",2020-06-05,241
"2020-06-08",2020-06-06,242
"2020-06-08",2020-06-07,146
"2020-06-08",2020-06-08,63
"2020-06-09",2020-03-15,1
"2020-06-09",2020-03-16,3
"2020-06-09",2020-03-17,4
"2020-06-09",2020-03-18,8
"2020-06-09",2020-03-19,9
"2020-06-09",2020-03-20,18
"2020-06-09",2020-03-21,15
"2020-06-09",2020-03-22,20
"2020-06-09",2020-03-23,38
"2020-06-09",2020-03-24,37
"2020-06-09",2020-03-25,39
"2020-06-09",2020-03-26,53
"2020-06-09",2020-03-27,59
"2020-06-09",2020-03-28,74
"2020-06-09",2020-03-29,70
"2020-06-09",2020-03-30,89
"2020-06-09",2020-03-31,118
"2020-06-09",2020-04-01,115
"2020-06-09",2020-04-02,133
"2020-06-09",2020-04-03,162
"2020-06-09",2020-04-04,180
"2020-06-09",2020-04-05,179
"2020-06-09",2020-04-06,174
"2020-06-09",2020-04-07,194
"2020-06-09",2020-04-08,188
"2020-06-09",2020-04-09,190
"2020-06-09",2020-04-10,235
"2020-06-09",2020-04-11,219
"2020-06-09",2020-04-12,267
"2020-06-09",2020-04-13,282
"2020-06-09",2020-04-14,253
"2020-06-09",2020-04-15,306
"2020-06-09",2020-04-16,317
"2020-06-09",2020-04-17,317
"2020-06-09",2020-04-18,335
"2020-06-09",2020-04-19,367
"2020-06-09",2020-04-20,417
"2020-06-09",2020-04-21,374
"2020-06-09",2020-04-22,443
"2020-06-09",2020-04-23,470
"2020-06-09",2020-04-24,488
"2020-06-09",2020-04-25,542
"2020-06-09",2020-04-26,565
"2020-06-09",2020-04-27,525
"2020-06-09",2020-04-28,587
"2020-06-09",2020-04-29,577
"2020-06-09",2020-04-30,547
"2020-06-09",2020-05-01,612
"2020-06-09",2020-05-02,619
"2020-06-09",2020-05-03,661
"2020-06-09",2020-05-04,679
"2020-06-09",2020-05-05,704
"2020-06-09",2020-05-06,645
"2020-06-09",2020-05-07,648
"2020-06-09",2020-05-08,706
"2020-06-09",2020-05-09,706
"2020-06-09",2020-05-10,671
"2020-06-09",2020-05-11,692
"2020-06-09",2020-05-12,716
"2020-06-09",2020-05-13,671
"2020-06-09",2020-05-14,690
"2020-06-09",2020-05-15,675
"2020-06-09",2020-05-16,664
"2020-06-09",2020-05-17,660
"2020-06-09",2020-05-18,684
"2020-06-09",2020-05-19,658
"2020-06-09",2020-05-20,596
"2020-06-09",2020-05-21,609
"2020-06-09",2020-05-22,670
"2020-06-09",2020-05-23,591
"2020-06-09",2020-05-24,543
"2020-06-09",2020-05-25,608
"2020-06-09",2020-05-26,517
"2020-06-09",2020-05-27,495
"2020-06-09",2020-05-28,475
"2020-06-09",2020-05-29,486
"2020-06-09",2020-05-30,445
"2020-06-09",2020-05-31,426
"2020-06-09",2020-06-01,451
"2020-06-09",2020-06-02,385
"2020-06-09",2020-06-03,357
"2020-06-09",2020-06-04,359
"2020-06-09",2020-06-05,272
"2020-06-09",2020-06-06,287
"2020-06-09",2020-06-07,188
"2020-06-09",2020-06-08,117
"2020-06-09",2020-06-09,28
"2020-06-16",2020-03-17,1
"2020-06-16",2020-03-18,2
"2020-06-16",2020-03-19,2
"2020-06-16",2020-03-20,1
"2020-06-16",2020-03-22,2
"2020-06-16",2020-03-23,1
"2020-06-16",2020-03-24,4
"2020-06-16",2020-03-25,1
"2020-06-16",2020-03-26,5
"2020-06-16",2020-03-27,7
"2020-06-16",2020-03-28,4
"2020-06-16",2020-03-29,6
"2020-06-16",2020-03-30,5
"2020-06-16",2020-03-31,16
"2020-06-16",2020-04-01,16
"2020-06-16",2020-04-02,14
"2020-06-16",2020-04-03,24
"2020-06-16",2020-04-04,25
"2020-06-16",2020-04-05,25
"2020-06-16",2020-04-06,16
"2020-06-16",2020-04-07,28
"2020-06-16",2020-04-08,27
"2020-06-16",2020-04-09,48
"2020-06-16",2020-04-10,53
"2020-06-16",2020-04-11,56
"2020-06-16",2020-04-12,62
"2020-06-16",2020-04-13,79
"2020-06-16",2020-04-14,68
"2020-06-16",2020-04-15,89
"2020-06-16",2020-04-16,125
"2020-06-16",2020-04-17,105
"2020-06-16",2020-04-18,136
"2020-06-16",2020-04-19,170
"2020-06-16",2020-04-20,159
"2020-06-16",2020-04-21,192
"2020-06-16",2020-04-22,235
"2020-06-16",2020-04-23,258
"2020-06-16",2020-04-24,298
"2020-06-16",2020-04-25,347
"2020-06-16",2020-04-26,384
"2020-06-16",2020-04-27,432
"2020-06-16",2020-04-28,522
"2020-06-16",2020-04-29,490
"2020-06-16",2020-04-30,503
"2020-06-16",2020-05-01,553
"2020-06-16",2020-05-02,579
"2020-06-16",2020-05-03,629
"2020-06-16",2020-05-04,670
"2020-06-16",2020-05-05,687
"2020-06-16",2020-05-06,648
"2020-06-16",2020-05-07,670
"2020-06-16",2020-05-08,718
"2020-06-16",2020-05-09,737
"2020-06-16",2020-05-10,711
"2020-06-16",2020-05-11,734
"2020-06-16",2020-05-12,751
"2020-06-16",2020-05-13,726
"2020-06-16",2020-05-14,777
"2020-06-16",2020-05-15,732
"2020-06-16",2020-05-16,742
"2020-06-16",2020-05-17,747
"2020-06-16",2020-05-18,786
"2020-06-16",2020-05-19,763
"2020-06-16",2020-05-20,694
"2020-06-16",2020-05-21,733
"2020-06-16",2020-05-22,776
"2020-06-16",2020-05-23,698
"2020-06-16",2020-05-24,633
"2020-06-16",2020-05-25,739
"2020-06-16",2020-05-26,621
"2020-06-16",2020-05-27,651
"2020-06-16",2020-05-28,616
"2020-06-16",2020-05-29,644
"2020-06-16",2020-05-30,583
"2020-06-16",2020-05-31,558
"2020-06-16",2020-06-01,580
"2020-06-16",2020-06-02,549
"2020-06-16",2020-06-03,543
"2020-06-16",2020-06-04,538
"2020-06-16",2020-06-05,489
"2020-06-16",2020-06-06,538
"2020-06-16",2020-06-07,425
"2020-06-16",2020-06-08,439
"2020-06-16",2020-06-09,426
"2020-06-16",2020-06-10,372
"2020-06-16",2020-06-11,350
"2020-06-16",2020-06-12,321
"2020-06-16",2020-06-13,284
"2020-06-16",2020-06-14,225
"2020-06-16",2020-06-15,190
"2020-06-16",2020-06-16,23
"2020-06-17",2020-03-15,1
"2020-06-17",2020-03-16,3
"2020-06-17",2020-03-17,4
"2020-06-17",2020-03-18,8
"2020-06-17",2020-03-19,10
"2020-06-17",2020-03-20,18
"2020-06-17",2020-03-21,15
"2020-06-17",2020-03-22,20
"2020-06-17",2020-03-23,37
"2020-06-17",2020-03-24,37
"2020-06-17",2020-03-25,40
"2020-06-17",2020-03-26,53
"2020-06-17",2020-03-27,61
"2020-06-17",2020-03-28,73
"2020-06-17",2020-03-29,70
"2020-06-17",2020-03-30,92
"2020-06-17",2020-03-31,115
"2020-06-17",2020-04-01,113
"2020-06-17",2020-04-02,132
"2020-06-17",2020-04-03,160
"2020-06-17",2020-04-04,177
"2020-06-17",2020-04-05,180
"2020-06-17",2020-04-06,174
"2020-06-17",2020-04-07,206
"2020-06-17",2020-04-08,189
"2020-06-17",2020-04-09,192
"2020-06-17",2020-04-10,242
"2020-06-17",2020-04-11,231
"2020-06-17",2020-04-12,276
"2020-06-17",2020-04-13,298
"2020-06-17",2020-04-14,265
"2020-06-17",2020-04-15,322
"2020-06-17",2020-04-16,325
"2020-06-17",2020-04-17,332
"2020-06-17",2020-04-18,366
"2020-06-17",2020-04-19,405
"2020-06-17",2020-04-20,447
"2020-06-17",2020-04-21,415
"2020-06-17",2020-04-22,489
"2020-06-17",2020-04-23,529
"2020-06-17",2020-04-24,549
"2020-06-17",2020-04-25,586
"2020-06-17",2020-04-26,622
"2020-06-17",2020-04-27,646
"2020-06-17",2020-04-28,707
"2020-06-17",2020-04-29,664
"2020-06-17",2020-04-30,642
"2020-06-17",2020-05-01,696
"2020-06-17",2020-05-02,714
"2020-06-17",2020-05-03,747
"2020-06-17",2020-05-04,775
"2020-06-17",2020-05-05,795
"2020-06-17",2020-05-06,732
"2020-06-17",2020-05-07,751
"2020-06-17",2020-05-08,788
"2020-06-17",2020-05-09,799
"2020-06-17",2020-05-10,774
"2020-06-17",2020-05-11,793
"2020-06-17",2020-05-12,811
"2020-06-17",2020-05-13,786
"2020-06-17",2020-05-14,825
"2020-06-17",2020-05-15,778
"2020-06-17",2020-05-16,777
"2020-06-17",2020-05-17,789
"2020-06-17",2020-05-18,823
"2020-06-17",2020-05-19,797
"2020-06-17",2020-05-20,737
"2020-06-17",2020-05-21,767
"2020-06-17",2020-05-22,803
"2020-06-17",2020-05-23,727
"2020-06-17",2020-05-24,651
"2020-06-17",2020-05-25,777
"2020-06-17",2020-05-26,647
"2020-06-17",2020-05-27,677
"2020-06-17",2020-05-28,647
"2020-06-17",2020-05-29,666
"2020-06-17",2020-05-30,613
"2020-06-17",2020-05-31,578
"2020-06-17",2020-06-01,604
"2020-06-17",2020-06-02,567
"2020-06-17",2020-06-03,560
"2020-06-17",2020-06-04,559
"2020-06-17",2020-06-05,503
"2020-06-17",2020-06-06,551
"2020-06-17",2020-06-07,455
"2020-06-17",2020-06-08,467
"2020-06-17",2020-06-09,451
"2020-06-17",2020-06-10,400
"2020-06-17",2020-06-11,385
"2020-06-17",2020-06-12,369
"2020-06-17",2020-06-13,340
"2020-06-17",2020-06-14,277
"2020-06-17",2020-06-15,301
"2020-06-17",2020-06-16,99
"2020-06-23",2020-03-15,1
"2020-06-23",2020-03-16,3
"2020-06-23",2020-03-17,4
"2020-06-23",2020-03-18,8
"2020-06-23",2020-03-19,10
"2020-06-23",2020-03-20,18
"2020-06-23",2020-03-21,15
"2020-06-23",2020-03-22,20
"2020-06-23",2020-03-23,36
"2020-06-23",2020-03-24,37
"2020-06-23",2020-03-25,40
"2020-06-23",2020-03-26,54
"2020-06-23",2020-03-27,62
"2020-06-23",2020-03-28,74
"2020-06-23",2020-03-29,70
"2020-06-23",2020-03-30,92
"2020-06-23",2020-03-31,116
"2020-06-23",2020-04-01,114
"2020-06-23",2020-04-02,134
"2020-06-23",2020-04-03,161
"2020-06-23",2020-04-04,176
"2020-06-23",2020-04-05,186
"2020-06-23",2020-04-06,176
"2020-06-23",2020-04-07,211
"2020-06-23",2020-04-08,192
"2020-06-23",2020-04-09,195
"2020-06-23",2020-04-10,245
"2020-06-23",2020-04-11,237
"2020-06-23",2020-04-12,280
"2020-06-23",2020-04-13,302
"2020-06-23",2020-04-14,266
"2020-06-23",2020-04-15,328
"2020-06-23",2020-04-16,334
"2020-06-23",2020-04-17,344
"2020-06-23",2020-04-18,368
"2020-06-23",2020-04-19,416
"2020-06-23",2020-04-20,454
"2020-06-23",2020-04-21,445
"2020-06-23",2020-04-22,540
"2020-06-23",2020-04-23,561
"2020-06-23",2020-04-24,584
"2020-06-23",2020-04-25,625
"2020-06-23",2020-04-26,635
"2020-06-23",2020-04-27,672
"2020-06-23",2020-04-28,732
"2020-06-23",2020-04-29,747
"2020-06-23",2020-04-30,753
"2020-06-23",2020-05-01,728
"2020-06-23",2020-05-02,737
"2020-06-23",2020-05-03,768
"2020-06-23",2020-05-04,813
"2020-06-23",2020-05-05,841
"2020-06-23",2020-05-06,788
"2020-06-23",2020-05-07,798
"2020-06-23",2020-05-08,830
"2020-06-23",2020-05-09,834
"2020-06-23",2020-05-10,815
"2020-06-23",2020-05-11,836
"2020-06-23",2020-05-12,852
"2020-06-23",2020-05-13,848
"2020-06-23",2020-05-14,880
"2020-06-23",2020-05-15,809
"2020-06-23",2020-05-16,832
"2020-06-23",2020-05-17,852
"2020-06-23",2020-05-18,866
"2020-06-23",2020-05-19,847
"2020-06-23",2020-05-20,791
"2020-06-23",2020-05-21,826
"2020-06-23",2020-05-22,875
"2020-06-23",2020-05-23,799
"2020-06-23",2020-05-24,727
"2020-06-23",2020-05-25,853
"2020-06-23",2020-05-26,711
"2020-06-23",2020-05-27,747
"2020-06-23",2020-05-28,720
"2020-06-23",2020-05-29,756
"2020-06-23",2020-05-30,696
"2020-06-23",2020-05-31,645
"2020-06-23",2020-06-01,699
"2020-06-23",2020-06-02,679
"2020-06-23",2020-06-03,661
"2020-06-23",2020-06-04,649
"2020-06-23",2020-06-05,603
"2020-06-23",2020-06-06,667
"2020-06-23",2020-06-07,565
"2020-06-23",2020-06-08,593
"2020-06-23",2020-06-09,581
"2020-06-23",2020-06-10,546
"2020-06-23",2020-06-11,550
"2020-06-23",2020-06-12,559
"2020-06-23",2020-06-13,548
"2020-06-23",2020-06-14,486
"2020-06-23",2020-06-15,533
"2020-06-23",2020-06-16,480
"2020-06-23",2020-06-17,483
"2020-06-23",2020-06-18,452
"2020-06-23",2020-06-19,329
"2020-06-23",2020-06-20,366
"2020-06-23",2020-06-21,325
"2020-06-23",2020-06-22,239
"2020-06-23",2020-06-23,66
